150_to_200_roof_top_capacity_distribution,15_to_20_roof_top_capacity_distribution,100_to_150_roof_top_capacity_distribution,roof_space_median,350_to_400_roof_top_capacity_distribution,potential_tree_planet_all_solar,roof_viable_total,250_to_300_roof_top_capacity_distribution,roof_total_est_e_facing,potential_car_taken_off_rode_all_solar,roof_energy_median,roof_solar_viable,600_to_650_roof_top_capacity_distribution,500_to_550_roof_top_capacity_distribution,roof_total_est_flat_roofs,400_to_450_roof_top_capacity_distribution,10_to_15_roof_top_capacity_distribution,950_to_1000_roof_top_capacity_distribution,roof_total_est_n_facing,20_to_25_roof_top_capacity_distribution,roof_total_est_w_facing,750_to_800_roof_top_capacity_distribution,300_to_350_roof_top_capacity_distribution,40_to_45_roof_top_capacity_distribution,potential_co2_saved_all_solar,200_to_250_roof_top_capacity_distribution,650_to_700_roof_top_capacity_distribution,roof_total_est_s_facing,30_to_35_roof_top_capacity_distribution,0_to_5_roof_top_capacity_distribution,threshold_viable_sunroof,roof_space_total,800_to_850_roof_top_capacity_distribution,900_to_950_roof_top_capacity_distribution,450_to_500_roof_top_capacity_distribution,roof_capacity_median,550_to_600_roof_top_capacity_distribution,700_to_750_roof_top_capacity_distribution,25_to_30_roof_top_capacity_distribution,45_to_50_roof_top_capacity_distribution,5_to_10_roof_top_capacity_distribution,35_to_40_roof_top_capacity_distribution,town,zip_code,total_yearl_energy_est_flat_roof,850_to_900_roof_top_capacity_distribution,50_to_100_roof_top_capacity_distribution
9,469,23,493.3143,0,511159,7112,2,10.6735,4214,6925.615,0.81681406,0,1,21.97975,3,1359,1,6.509,153,18.13925,0,1,16,19935.223,4,0,18.314,31,2082,854.25,5328887,0,0,0,7,2,0,56,17,2784,30,seattle,98146,5826.7544,0,68
18,190,19,634.2612,4,350055,2236,8,4.75575,2886,8805.084,0.8596694,0,4,29.0955,0,477,1,3.37825,76,7.63675,0,4,14,13652.183,13,0,6.95075,28,447,854.25,3651724,0,1,3,9,4,0,41,11,779,22,seattle,98148,3111.0454,2,68
18,348,44,440.4592,3,512886,7001,5,10.3205,4228,6054.083,0.5982738,1,2,27.382,2,1013,1,2.60075,120,18.38,1,2,17,20002.576,11,0,19.05325,26,2439,854.25,5478361,0,0,1,6.25,1,0,59,20,2769,23,seattle,98155,2276.5078,0,75
16,553,32,581.4061,3,527820,6045,3,9.934,4352,7873.9756,0.7760945,0,0,32.52625,2,1115,1,3.607,247,17.20475,0,4,35,20585.008,5,0,15.9145,66,1513,854.25,5580547.5,0,0,0,8.25,0,0,113,34,2159,46,seattle,98166,3178.5325,1,97
6,591,10,563.7878,3,460371,5837,0,11.374,3795,7881.797,0.78097403,0,0,15.29175,1,1210,1,4.726,217,19.41475,0,1,12,17954.475,3,0,17.55425,39,1454,854.2443,4817619.5,0,0,0,8,1,1,85,6,2135,24,seattle,98177,4156.887,0,33
8,487,6,475.69595,2,437240,6789,3,9.8355,3605,6619.7944,0.8075413,0,1,16.35875,1,1191,0,5.35275,151,16.19225,0,5,14,17052.377,1,0,17.28925,21,2181,854.25,4582784,0,0,2,6.75,0,0,36,8,2617,18,seattle,98178,4741.2646,0,36
45,343,84,616.6429,12,1245353,5373,26,10.251,10268,8428.056,0.8145846,5,7,133.13525,8,1105,16,5.452,137,16.99425,3,14,24,48568.773,31,9,16.3385,47,1209,854.25,12838223,5,6,13,8.75,6,5,84,26,1877,35,seattle,98188,4825.2437,3,166
19,871,32,651.87964,8,789696,8328,7,17.45425,6511,8967.11,0.8699467,2,2,38.183,0,2074,2,9.25525,293,27.99625,0,2,29,30798.158,12,0,24.84625,89,1537,854.25,8297194.5,0,1,0,9.25,2,1,121,39,3018,50,seattle,98198,8159.13,1,114
9,278,29,405.22247,2,418257,5538,1,6.3685,3448,5673.277,0.7656574,1,1,28.5855,1,614,1,3.15075,110,11.58275,0,2,17,16312.039,5,0,11.7435,31,2202,854.25,4329256,0,0,4,5.75,1,0,54,21,2035,18,seattle,98199,2845.4175,0,100
7,45,19,405.22247,3,478922,1934,8,3.16225,3948,6448.597,0.7464299,1,1,34.72875,2,145,2,0.57225,28,3.0675,3,7,21,18677.992,10,2,3.29475,9,791,965.6,3159008.8,0,2,2,5.75,1,0,24,15,699,15,albany,12202,572.0232,0,68
32,222,42,422.84082,7,1023457,6277,16,15.9885,8438,6614.552,0.6845894,0,6,55.56575,5,697,5,1.45725,116,5.522,1,18,17,39914.836,9,1,18.98175,39,2351,965.6,6872238.5,3,1,3,6,3,2,55,12,2528,25,albany,12203,1430.4192,1,58
22,64,48,563.7878,4,644102,1515,9,5.31275,5310,9089.863,0.7667004,0,3,43.2985,6,194,8,1.38425,38,3.5195,2,6,14,25120.016,15,2,6.801,18,411,965.6,4250678,1,1,1,8,4,2,25,10,502,18,albany,12204,1357.8888,0,85
71,264,125,440.4592,24,2192405,8410,25,11.03125,18076,7078.295,0.7350756,1,10,143.0845,10,1077,22,6.37675,91,16.752,2,31,38,85503.8,47,4,28.1405,44,2766,965.6,14474194,6,4,11,6.25,3,4,48,32,3403,32,albany,12205,6421.326,4,202
17,93,43,422.84082,2,765643,3297,6,4.979,6312,6657.1133,0.7486376,3,3,60.37075,2,341,9,0.6825,43,1.66575,0,11,15,29860.111,16,1,4.15675,27,1309,965.6,5063854,2,0,4,6,3,0,33,12,1189,17,albany,12206,679.25433,1,90
17,38,19,1198.0491,2,274419,404,2,0.90675,2262,18830.146,0.88986784,2,2,23.49975,1,46,2,0.29075,23,0.42,1,0,5,10702.364,7,2,0.836,12,48,965.6,1829015.6,0,0,1,17,1,0,18,5,88,7,albany,12207,296.95593,0,53
13,156,15,405.22247,5,627477,4706,6,13.821,5173,6501.4614,0.74040276,0,0,26.37825,4,521,4,0.88525,64,6.23725,1,5,11,24471.629,7,1,12.29425,21,1793,965.6,4201346.5,0,0,6,5.75,1,1,36,9,1975,9,albany,12208,870.3263,1,40
1,52,5,387.6041,1,241819,2654,1,4.50225,1993,6200.6064,0.78917634,1,1,8.11375,0,314,0,0.33775,18,3.316,0,1,5,9430.941,0,0,6.59225,4,1122,965.6,1611164.5,0,0,0,5.5,2,0,11,6,1087,4,albany,12209,336.71152,0,18
11,54,16,387.6041,1,244640,1770,1,1.90825,2017,6254.3467,0.7818021,0,0,18.88225,0,132,0,0.351,21,0.5035,0,3,7,9540.995,2,1,1.601,16,709,965.6,1638226.4,0,0,3,5.5,2,0,17,2,729,12,albany,12210,346.82907,0,31
6,260,15,546.16943,2,521504,3423,5,8.46525,4299,8607.459,0.74461603,3,3,17.8485,0,658,3,0.84025,89,8.9365,1,5,3,20338.686,8,1,13.8575,18,764,965.6,3520009,0,0,2,7.75,1,0,28,1,1512,11,albany,12211,831.3719,0,23
