150_to_200_roof_top_capacity_distribution,15_to_20_roof_top_capacity_distribution,100_to_150_roof_top_capacity_distribution,roof_space_median,350_to_400_roof_top_capacity_distribution,potential_tree_planet_all_solar,roof_viable_total,250_to_300_roof_top_capacity_distribution,roof_total_est_e_facing,potential_car_taken_off_rode_all_solar,roof_energy_median,roof_solar_viable,600_to_650_roof_top_capacity_distribution,500_to_550_roof_top_capacity_distribution,roof_total_est_flat_roofs,400_to_450_roof_top_capacity_distribution,10_to_15_roof_top_capacity_distribution,950_to_1000_roof_top_capacity_distribution,roof_total_est_n_facing,20_to_25_roof_top_capacity_distribution,roof_total_est_w_facing,750_to_800_roof_top_capacity_distribution,300_to_350_roof_top_capacity_distribution,40_to_45_roof_top_capacity_distribution,potential_co2_saved_all_solar,200_to_250_roof_top_capacity_distribution,650_to_700_roof_top_capacity_distribution,roof_total_est_s_facing,30_to_35_roof_top_capacity_distribution,0_to_5_roof_top_capacity_distribution,threshold_viable_sunroof,roof_space_total,800_to_850_roof_top_capacity_distribution,900_to_950_roof_top_capacity_distribution,450_to_500_roof_top_capacity_distribution,roof_capacity_median,550_to_600_roof_top_capacity_distribution,700_to_750_roof_top_capacity_distribution,25_to_30_roof_top_capacity_distribution,45_to_50_roof_top_capacity_distribution,5_to_10_roof_top_capacity_distribution,35_to_40_roof_top_capacity_distribution,town,zip_code,total_yearl_energy_est_flat_roof,850_to_900_roof_top_capacity_distribution,50_to_100_roof_top_capacity_distribution
4,57,5,493.3143,1,270068,1024,1,0.529,2226,7588.3247,0.5919075,0,0,15.278,0,95,0,0.13875,38,0.2285,0,1,16,10532.685,0,0,0.541,27,369,962.2,1177981.8,0,0,0,7,1,0,33,9,287,21,new york city,10024,139.79057,0,59
6,73,17,669.498,0,355490,985,1,1.41825,2931,10436.087,0.61755484,0,0,19.83575,0,106,1,0.069,64,0.14825,0,2,22,13864.122,4,0,0.541,37,261,962.2,1551279.8,0,0,0,9.5,0,0,50,19,232,23,new york city,10025,69.13063,0,67
2,38,4,475.69595,1,165505,570,0,1.13375,1364,7712.566,0.56213015,0,0,8.8035,1,60,1,0.02125,35,0.02375,0,0,9,6454.713,2,0,0.15825,9,206,962.2,714636.25,0,0,0,6.75,0,0,18,5,148,7,new york city,10026,22.140564,0,24
9,70,20,669.498,0,413004,1005,3,0.98475,3405,10718.02,0.47383308,0,2,22.596,3,114,0,0.193,51,0.558,0,2,23,16107.187,2,0,0.897,33,325,962.2,1777957.6,0,0,2,9.5,0,0,38,10,190,30,new york city,10027,186.99612,0,78
1,57,6,510.93268,0,179828,820,1,0.261,1482,7778.3022,0.6533865,0,0,10.6945,0,96,0,0.06025,35,0.1315,0,1,9,7013.308,0,0,0.2625,20,253,962.2,804084.7,0,0,0,7.25,0,0,21,12,271,8,new york city,10028,59.482033,0,29
12,60,22,546.16943,1,451470,1085,7,0.5965,3722,8675.6,0.6880152,0,1,26.50425,1,119,0,0.07125,50,0.126,0,2,21,17607.361,8,1,0.428,15,342,962.2,1953947.5,0,0,1,7.75,0,0,36,13,277,22,new york city,10029,71.64442,1,73
1,31,2,405.22247,0,144306,537,1,2.173,1189,6473.003,0.47354499,0,0,6.34075,0,51,0,0.0405,15,0.05475,0,0,5,5627.9414,1,0,0.1095,9,228,962.2,614423,0,0,0,5.75,0,0,13,4,150,7,new york city,10030,42.320435,0,17
3,54,8,739.97144,0,318492,804,1,1.383,2626,11857.778,0.5114504,0,0,16.83875,0,123,1,0.1655,44,0.3805,0,1,16,12421.211,3,0,0.5105,31,198,962.2,1358605.2,0,0,2,10.5,0,0,33,18,184,21,new york city,10031,174.38306,1,62
4,66,15,1039.4838,0,341686,711,1,0.19975,2817,16539.846,0.72477067,0,1,18.41825,0,103,0,0.38875,50,1.11,0,0,25,13325.792,3,1,0.74725,33,111,962.2,1470358.5,0,0,0,14.75,0,0,32,20,139,25,new york city,10032,378.99475,0,81
5,58,15,1550.4164,1,310253,595,1,0.211,2558,24760.873,0.82753825,0,0,17.806,0,79,0,0.31525,58,0.06725,0,0,29,12099.874,0,0,0.37725,40,41,962.2,1323262.8,0,0,1,22,0,0,36,15,100,37,new york city,10033,334.2231,0,79
2,49,5,845.68164,1,210295,484,1,1.155,1733,13469.828,0.74806803,0,0,10.6225,1,78,2,0.384,33,0.09475,0,0,13,8201.529,2,0,0.3045,13,93,962.2,885199.7,0,0,0,12,0,0,25,3,112,23,new york city,10034,381.6121,0,28
5,54,18,528.551,4,427671,688,7,0.527,3526,8318.845,0.52279633,1,0,23.22625,4,65,4,0.39925,22,0.39225,0,4,11,16679.17,6,0,1.1695,18,250,962.2,1812172.5,0,0,0,7.5,0,1,23,7,124,13,new york city,10035,411.09686,0,47
7,32,13,563.7878,0,248050,595,2,0.21475,2045,8944.389,0.5504163,1,0,14.80825,0,65,1,0.05675,26,0.146,0,1,6,9673.982,4,0,0.39475,11,166,962.2,1100830.9,0,0,1,8,1,0,14,3,183,13,new york city,10036,55.141792,0,45
4,13,13,1092.3389,0,135435,183,2,0.07875,1116,17126.219,0.620339,0,0,7.491,1,8,0,0.329,8,0.039,0,2,1,5281.9824,2,1,0.33375,10,47,962.2,582921.3,0,0,0,15.5,0,0,8,4,31,5,new york city,10037,338.0419,0,23
3,22,8,1127.5756,1,140749,215,3,0.10025,1160,17484.436,0.577957,0,1,8.01325,1,19,0,0.09925,15,0.14,0,0,5,5489.2363,4,0,0.4525,2,43,962.4769,620536.56,0,0,0,16,0,0,14,5,39,2,new york city,10038,100.85259,0,28
2,25,9,775.2082,0,124353,292,0,0.09875,1025,12468.423,0.83428574,0,0,6.36875,0,49,1,0.102,19,0.0345,0,0,4,4849.7837,1,0,1.07925,6,53,962.2,541465.3,0,0,0,11,0,0,7,4,81,3,new york city,10039,108.50024,0,28
1,31,7,1286.1409,0,173848,371,3,1.02475,1433,20712.031,0.8100437,0,0,9.38325,0,48,1,0.026,47,0.03775,0,0,11,6780.085,0,0,0.09525,30,57,962.2,744693.2,0,0,0,18.25,0,0,29,11,56,10,new york city,10040,25.668856,0,29
0,31,8,458.07758,0,156230,598,0,0.35825,1288,7142.9263,0.52873564,0,1,8.363,0,68,0,0.2525,23,0.10325,0,1,4,6093.0024,0,0,0.8435,12,201,962.2,699132.06,0,0,0,6.5,0,0,18,5,179,8,new york city,10065,256.6531,0,39
1,24,4,581.4061,0,97513,390,0,0.0895,804,8881.085,0.6103286,0,0,5.866,0,48,0,0.0315,22,0.0445,0,0,6,3803.0215,1,0,0.12325,11,121,962.2,433746.6,0,0,0,8.25,0,0,17,2,107,6,new york city,10075,31.311665,0,20
32,145,53,669.498,6,1627302,2084,16,5.52,13417,12764.012,0.7721378,5,2,60.62575,7,303,7,3.48375,65,8.164,2,9,37,63464.797,22,4,7.497,35,466,1161.95,6010717.5,3,0,5,9.5,3,0,67,27,577,30,tampa,33602,4210.3867,1,153
