Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly),Water Heater:WaterSystems:Electricity [kW](Hourly) 
 03/31  09:00:00,1.62723132052,4.22859929921,0.0,4.20407033445,0.0,0.103812708822,0.103812708822,0.103812708822,0.147491386046,0.0317735565319,0.275218193109,0.356115477877,0.69617599813
 03/31  10:00:00,1.47469060379,4.20084531127,0.0,4.17996917873,0.0,0.103524494223,0.103524494223,0.103524494223,0.0761245853185,0.016399256479,0.336436577975,0.303083068842,0.622478620953
 03/31  11:00:00,1.40799162753,4.78552113434,0.0,4.76415402973,0.0,0.118677456056,0.118677456056,0.118677456056,0.0618512235796,0.0133243957819,0.351641232033,0.310211080809,0.535642239271
 03/31  12:00:00,1.31628365153,3.61071422462,0.0,3.58934057371,0.0,0.0889429860504,0.0889429860504,0.0889429860504,0.0618512235796,0.0133243957819,0.366855520645,0.310306120969,0.458359404503
 03/31  13:00:00,1.23256525953,3.24821449257,0.0,3.22720088785,0.0,0.0803823776595,0.0803823776595,0.0803823776595,0.0618512235796,0.0133243957819,0.357197296466,0.305078912193,0.398087053846
 03/31  14:00:00,1.17400073938,3.19785928454,0.0,3.17611904116,0.0,0.0792419893493,0.0792419893493,0.0792419893493,0.0618512235796,0.0133243957819,0.324743059292,0.315628369904,0.362567701477
 03/31  15:00:00,1.13011234434,3.1387285812,0.0,3.11576418078,0.0,0.0781543465061,0.0781543465061,0.0781543465061,0.0618512235796,0.0133243957819,0.299663707888,0.333400879742,0.327073790841
 03/31  16:00:00,1.17556031055,3.22303125796,0.0,3.19879033016,0.0,0.0802577887723,0.0802577887723,0.0802577887723,0.0713668007277,0.0153743034853,0.308214938409,0.351933710857,0.331768768303
 03/31  17:00:00,1.37464778603,3.19437284315,0.0,3.1657000741,0.0,0.0792913712154,0.0792913712154,0.0792913712154,0.109429077454,0.0235739257181,0.354668497169,0.41627589888,0.374765015594
 03/31  18:00:00,1.79270208982,3.95618350338,0.0,3.92135067139,0.0,0.0983051532153,0.0983051532153,0.0983051532153,0.218858154908,0.0471478685982,0.438965378865,0.505708689028,0.467072845208
 03/31  19:00:00,2.13550077857,3.04937949026,0.0,3.01156154807,0.0,0.0751012497027,0.0751012497027,0.0751012497027,0.423443003842,0.0912208713508,0.397476839177,0.549047001788,0.552567812709
 03/31  20:00:00,2.31270473586,2.90750996513,0.0,2.8684744122,0.0,0.0712072104196,0.0712072104196,0.0712072104196,0.632785621435,0.136318823665,0.322310374418,0.566724471466,0.566714234459
 03/31  21:00:00,2.30141911953,2.84387795847,0.0,2.80350041521,0.0,0.0696423734358,0.0696423734358,0.0696423734358,0.680363467342,0.146568353601,0.2859788881,0.586207704176,0.51601433288
 03/31  22:00:00,2.0816713058,3.03607333465,0.0,2.99663845776,0.0,0.0745047214746,0.0745047214746,0.0745047214746,0.570934389888,0.122994427883,0.269710329714,0.572521921199,0.454361515645
 03/31  23:00:00,1.69051084906,3.38402711686,0.0,3.34990128466,0.0,0.0833420528509,0.0833420528509,0.0833420528509,0.4282007725,0.092245820912,0.217943329922,0.495444351795,0.356690521075
 03/31  24:00:00,1.30448838695,3.81044075492,0.0,3.78078604172,0.0,0.0940103794725,0.0940103794725,0.0940103794725,0.29974054075,0.064572079787,0.147779360955,0.430531922814,0.251210103171
 04/01  01:00:00,0.913081342218,4.1913257148,0.0,4.16684517841,0.0,0.103436489949,0.103436489949,0.103436489949,0.151607451035,0.0326602661026,0.104798373634,0.355412387102,0.148522374396
 04/01  02:00:00,0.751749066914,4.62103576171,0.0,4.59849563613,0.0,0.113904876509,0.113904876509,0.113904876509,0.0932968623039,0.0200986186931,0.0877618024304,0.327241189085,0.0928017178928
 04/01  03:00:00,0.690440912926,4.99449524604,0.0,4.97221645525,0.0,0.12288995191,0.12288995191,0.12288995191,0.0621979188246,0.0133990831332,0.0741586566598,0.323447088342,0.0777042140565
 04/01  04:00:00,0.689083981764,5.31779773936,0.0,5.29583255031,0.0,0.130562834492,0.130562834492,0.130562834492,0.0621979188246,0.0133990831332,0.0654414409304,0.31889416745,0.0819445369332
 04/01  05:00:00,0.735880960781,5.44392316508,0.0,5.42278771399,0.0,0.133588969256,0.133588969256,0.133588969256,0.0621979188246,0.0133990831332,0.076570356547,0.306847897591,0.126632735429
 04/01  06:00:00,0.985790687735,5.56471619022,0.0,5.54113072548,0.0,0.136057620514,0.136057620514,0.136057620514,0.0660852887511,0.0142365257218,0.0902948593445,0.342417592057,0.320054801347
 04/01  07:00:00,1.51943376387,5.8625985349,0.0,5.83534784973,0.0,0.143256160921,0.143256160921,0.143256160921,0.108846326077,0.023448402777,0.148933834476,0.395629854978,0.682675184637
 04/01  08:00:00,1.84133330327,5.08555230272,0.0,5.05659640806,0.0,0.123576488825,0.123576488825,0.123576488825,0.202143188381,0.0435470214701,0.235105582796,0.420386362326,0.78493065947
 04/01  09:00:00,1.75933951457,4.84020408083,0.0,4.81572354443,0.0,0.118174225318,0.118174225318,0.118174225318,0.163269489115,0.0351725955844,0.307411605372,0.355412387102,0.763255212078
 04/01  10:00:00,1.59497450693,4.72285717616,0.0,4.70202226007,0.0,0.115926837328,0.115926837328,0.115926837328,0.0777473905642,0.0167488534875,0.381213117803,0.302484681737,0.684209626008
 04/01  11:00:00,1.53283157806,5.65925336038,0.0,5.63792844157,0.0,0.140069283384,0.140069283384,0.140069283384,0.0621979188246,0.0133990831332,0.402331141021,0.30959862063,0.588591531068
 04/01  12:00:00,1.4397799151,4.71814817689,0.0,4.69681672471,0.0,0.116510894061,0.116510894061,0.116510894061,0.0621979188246,0.0133990831332,0.419083646564,0.309693473148,0.502250899365
 04/01  13:00:00,1.34068130705,4.18814480055,0.0,4.1671726837,0.0,0.103111432203,0.103111432203,0.103111432203,0.0621979188246,0.0133990831332,0.404711840164,0.304476584627,0.436140448098
 04/01  14:00:00,1.26858248564,3.95591608442,0.0,3.93421876353,0.0,0.0977073434945,0.0977073434945,0.0977073434945,0.0621979188246,0.0133990831332,0.368086623627,0.315005214189,0.395542302376
 04/01  15:00:00,1.21594496314,3.86005326188,0.0,3.83713420085,0.0,0.0954581809248,0.0954581809248,0.0954581809248,0.0621979188246,0.0133990831332,0.338555388231,0.332742635162,0.356947756868
 04/01  16:00:00,1.24013929575,3.63949565627,0.0,3.61530258814,0.0,0.0901910747771,0.0901910747771,0.0901910747771,0.0621979188246,0.0133990831332,0.34497794887,0.351238876284,0.361490393863
 04/01  17:00:00,1.40211545955,3.56519194226,0.0,3.53657578282,0.0,0.0882063918212,0.0882063918212,0.0882063918212,0.0660852887511,0.0142365257218,0.390117669639,0.41545403136,0.411371552254
 04/01  18:00:00,1.72533852618,4.44581547359,0.0,4.41105141323,0.0,0.11061290612,0.11061290612,0.11061290612,0.0894095162769,0.0192611812531,0.473564930748,0.504710251339,0.51113574044
 04/01  19:00:00,1.92153061288,3.54878996997,0.0,3.51104669302,0.0,0.0872958152036,0.0872958152036,0.0872958152036,0.163269489115,0.0351725955844,0.431195325454,0.54796299981,0.609990387711
 04/01  20:00:00,2.04514412223,3.39671078853,0.0,3.3577523048,0.0,0.0833101943937,0.0833101943937,0.0833101943937,0.322651711869,0.0695077365669,0.356238631088,0.565605568265,0.631186280045
 04/01  21:00:00,2.22679122138,3.44458734472,0.0,3.40428952019,0.0,0.08443814378,0.08443814378,0.08443814378,0.528682325942,0.113892212639,0.320638609999,0.585050334573,0.577445594443
 04/01  22:00:00,2.17999502933,3.53035484506,0.0,3.49099782578,0.0,0.0864628566656,0.0864628566656,0.0864628566656,0.571443291569,0.123104075965,0.305173474043,0.571391571898,0.505775759191
 04/01  23:00:00,1.76913320963,3.87061755163,0.0,3.8365590952,0.0,0.0949883395766,0.0949883395766,0.0949883395766,0.427610691919,0.0921187019039,0.246138495171,0.494466179333,0.39716680173
 04/01  24:00:00,1.34872165488,4.21815055696,0.0,4.18855439206,0.0,0.103653153134,0.103653153134,0.103653153134,0.295440050685,0.0636456401632,0.163241640347,0.429681909146,0.276415261409
 04/02  01:00:00,0.753467472654,4.70385396676,0.0,4.68131384118,0.0,0.11576438011,0.11576438011,0.11576438011,0.0932968623039,0.0200986186931,0.0877618024304,0.327241189085,0.0926606200313
 04/02  02:00:00,0.691683428734,5.05306948669,0.0,5.0307906959,0.0,0.124261594529,0.124261594529,0.124261594529,0.0621979188246,0.0133990831332,0.0741586566598,0.323447088342,0.0775750872453
 04/02  03:00:00,0.687084687846,5.23947754264,0.0,5.21751235359,0.0,0.128722477652,0.128722477652,0.128722477652,0.0621979188246,0.0133990831332,0.0654414409304,0.31889416745,0.0817855998552
 04/02  04:00:00,0.735758582133,5.45802517515,0.0,5.43688972406,0.0,0.13381298819,0.13381298819,0.13381298819,0.0621979188246,0.0133990831332,0.076570356547,0.306847897591,0.126286337847
 04/02  05:00:00,0.982830676898,5.47925641964,0.0,5.4556709549,0.0,0.134218815578,0.134218815578,0.134218815578,0.0660852887511,0.0142365257218,0.0902948593445,0.342417592057,0.318933595445
 04/02  06:00:00,1.50458974545,5.35890739855,0.0,5.33165671339,0.0,0.130984323801,0.130984323801,0.130984323801,0.108846326077,0.023448402777,0.148933834476,0.395629854978,0.68010300334
 04/02  07:00:00,1.84270638735,5.24570740637,0.0,5.21675151171,0.0,0.1279718316,0.1279718316,0.1279718316,0.202143188381,0.0435470214701,0.235105582796,0.420386362326,0.781908400774
 04/02  08:00:00,1.75952686078,4.96993650925,0.0,4.94545597285,0.0,0.121329581472,0.121329581472,0.121329581472,0.163269489115,0.0351725955844,0.307411605372,0.355412387102,0.760287202134
 04/02  09:00:00,1.59304552606,4.75703601597,0.0,4.73620109989,0.0,0.116676385838,0.116676385838,0.116676385838,0.0777473905642,0.0167488534875,0.381213117803,0.302484681737,0.681531096628
 04/02  10:00:00,1.51142800143,4.9013646101,0.0,4.88003969129,0.0,0.120969169505,0.120969169505,0.120969169505,0.0621979188246,0.0133990831332,0.402331141021,0.30959862063,0.586288068318
 04/02  11:00:00,1.40759889412,3.50946215137,0.0,3.48813069919,0.0,0.0862794768835,0.0862794768835,0.0862794768835,0.0621979188246,0.0133990831332,0.419083646564,0.309693473148,0.500301295562
 04/02  12:00:00,1.31528281823,3.20193347028,0.0,3.18096135343,0.0,0.0793911649063,0.0793911649063,0.0793911649063,0.0621979188246,0.0133990831332,0.404711840164,0.304476584627,0.434462226572
 04/02  13:00:00,1.23246460839,2.538034012,0.0,2.51633669111,0.0,0.0630887248955,0.0630887248955,0.0630887248955,0.0621979188246,0.0133990831332,0.368086623627,0.315005214189,0.394043043721
 04/02  14:00:00,1.17612415908,2.28820495113,0.0,2.26528589011,0.0,0.0569749121169,0.0569749121169,0.0569749121169,0.0621979188246,0.0133990831332,0.338555388231,0.332742635162,0.355610221613
 04/02  15:00:00,1.20119961392,2.10853972801,0.0,2.08434665989,0.0,0.0526003248581,0.0526003248581,0.0526003248581,0.0621979188246,0.0133990831332,0.34497794887,0.351238876284,0.360141461949
 04/02  16:00:00,1.36156166207,1.9726512038,0.0,1.94403504436,0.0,0.0492009012602,0.0492009012602,0.0492009012602,0.0660852887511,0.0142365257218,0.390117669639,0.41545403136,0.409823245336
 04/02  17:00:00,1.68015979203,2.68968785922,0.0,2.65492379886,0.0,0.0673638564923,0.0673638564923,0.0673638564923,0.0894095162769,0.0192611812531,0.473564930748,0.504710251339,0.509206055918
 04/02  18:00:00,1.88732666644,2.23208475287,0.0,2.19434147592,0.0,0.0553856205492,0.0553856205492,0.0553856205492,0.163269489115,0.0351725955844,0.431195325454,0.54796299981,0.607696635928
 04/02  19:00:00,2.01783831295,2.36115059319,0.0,2.32219210946,0.0,0.0583653267521,0.0583653267521,0.0583653267521,0.322651711869,0.0695077365669,0.356238631088,0.565605568265,0.628825338408
 04/02  20:00:00,2.2011699335,2.47657004382,0.0,2.4362722193,0.0,0.0609799221732,0.0609799221732,0.0609799221732,0.528682325942,0.113892212639,0.320638609999,0.585050334573,0.575282528171
 04/02  21:00:00,2.16175982115,2.84650665074,0.0,2.80714963146,0.0,0.0701206396467,0.0701206396467,0.0701206396467,0.571443291569,0.123104075965,0.305173474043,0.571391571898,0.503882768031
 04/02  22:00:00,1.75690535589,3.41067021931,0.0,3.37661176288,0.0,0.0842096671757,0.0842096671757,0.0842096671757,0.427610691919,0.0921187019039,0.246138495171,0.494466179333,0.395717620389
