Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly) 
 05/10  14:00:00,0.882362787855,0.511424335846,0.0,0.0,0.0289664200923,0.00769836706374,0.036664787156,0.00769836706374,0.0662175126516,0.0143376354749,0.368956064146,0.375960788427
 05/10  15:00:00,1.14602247781,0.522757687048,0.0,0.0,0.212430183872,0.0567496502052,0.269179834077,0.0567496502052,0.0662175126516,0.0143376354749,0.379202088662,0.396859406939
 05/10  16:00:00,1.47478920004,0.583560067113,0.0,0.0,0.366297185444,0.0984386643967,0.464735849841,0.0984386643967,0.0706320137114,0.0152934799459,0.43448673302,0.46941512352
 05/10  17:00:00,1.62940766073,0.704215865811,0.0,0.0,0.312609832921,0.0840374386103,0.396647271531,0.0840374386103,0.0882900172017,0.0191168465477,0.534863171049,0.570264354395
 05/10  18:00:00,1.73192353363,0.818208686431,0.0,0.0,0.305383746384,0.0821083224089,0.387492068793,0.0821083224089,0.154507478746,0.0334544887918,0.487108527302,0.619134969994
 05/10  19:00:00,1.69563164894,0.846606019271,0.0,0.0,0.206233718493,0.0554611248779,0.261694843371,0.0554611248779,0.309015059207,0.0669089550196,0.398717754459,0.639069036884
 05/10  20:00:00,1.8134971571,0.797353587371,0.0,0.0,0.0914332992844,0.02459485735,0.116028156634,0.02459485735,0.542983575875,0.117568608186,0.355651436977,0.661039379423
 05/10  21:00:00,1.92965028783,0.728708645566,0.0,0.0,0.0495903610259,0.0133399191756,0.0629302802015,0.0133399191756,0.710734627503,0.153890616853,0.336262209834,0.645606553444
 05/10  22:00:00,1.53051220133,0.617271344354,0.0,0.0,0.0,0.0,0.0,0.0,0.556227047042,0.120436128061,0.274933291318,0.558689734911
 05/10  23:00:00,1.17004714766,0.494716208549,0.0,0.0,0.0,0.0,0.0,0.0,0.388476094632,0.0841141419587,0.191739927151,0.485490983915
