Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly) 
 05/19  19:00:00,1.62379797331,1.14639325072,0.0,0.0,0.0,0.0,0.0,0.0,0.397453226172,0.0905686342179,0.398717754459,0.713658358458
 05/19  20:00:00,1.97476854014,1.0633986445,0.0,0.0,0.0,0.0,0.0,0.0,0.698382124199,0.159141996409,0.355651436977,0.738192982553
 05/19  21:00:00,2.20307129107,0.959273675113,0.0,0.0,0.0,0.0,0.0,0.0,0.914142329616,0.208307846484,0.336262209834,0.72095890514
 05/19  22:00:00,1.80067014159,0.788740512818,0.0,0.0,0.0,0.0,0.0,0.0,0.7154157823,0.163023529375,0.274933291318,0.623897538595
 05/19  23:00:00,1.37080843181,0.606172373757,0.0,0.0,0.0,0.0,0.0,0.0,0.499655442847,0.113857709843,0.191739927151,0.542155351973
 05/19  24:00:00,0.918895123167,0.412334075151,0.0,0.0,0.0,0.0,0.0,0.0,0.255505673227,0.0582226890625,0.133321704843,0.448445056036
 05/20  01:00:00,0.74524761505,0.333722954375,0.0,0.0,0.0,0.0,0.0,0.0,0.153303325012,0.0349336134375,0.12071090523,0.41289977137
 05/20  02:00:00,0.661423081102,0.307817364251,0.0,0.0,0.0,0.0,0.0,0.0,0.102202243232,0.0232890725707,0.104419237655,0.408112527644
 05/20  03:00:00,0.644977339213,0.315168757531,0.0,0.0,0.0,0.0,0.0,0.0,0.102202243232,0.0232890725707,0.0937181882377,0.402367835173
 05/20  04:00:00,0.642515676512,0.38966201562,0.0,0.0,0.0,0.0,0.0,0.0,0.102202243232,0.0232890725707,0.106456024366,0.387168336342
 05/20  05:00:00,0.710401627295,0.716710134721,0.0,0.0,0.0,0.0,0.0,0.0,0.107880156073,0.0245829097661,0.122489815182,0.432048746274
 05/20  06:00:00,0.904977198498,1.41862104254,0.0,0.0897710790682,0.0,0.00249356860529,0.00249356860529,0.00249356860529,0.153303325012,0.0349336134375,0.191656851911,0.499189839532
 05/20  07:00:00,1.19829012679,1.50478591279,0.0,0.0,0.0,0.0,0.0,0.0,0.255505673227,0.0582226890625,0.29323515966,0.530426604844
 05/20  08:00:00,1.08689765483,1.46497567058,0.0,0.0,0.0,0.0,0.0,0.0,0.193048661283,0.0439904829679,0.378013454548,0.448445056036
 05/20  09:00:00,0.994950569213,1.32980054276,0.0,0.0,0.0,0.0,0.0,0.0,0.102202243232,0.0232890725707,0.464396247352,0.381663006058
 05/20  10:00:00,1.00694684043,1.1708226906,0.0,0.0,0.0,0.0,0.0,0.0,0.0851685446715,0.0194075640389,0.488331643674,0.390639088044
 05/20  11:00:00,1.02665491533,1.02562818268,0.0,0.0,0.0,0.0,0.0,0.0,0.0851685446715,0.0194075640389,0.507920037478,0.390758769137
 05/20  12:00:00,1.00427951411,0.913900438551,0.0,0.0,0.0,0.0,0.0,0.0,0.0851685446715,0.0194075640389,0.492127096384,0.384176309014
 05/20  13:00:00,0.974768959523,0.845795303323,0.0,0.0,0.0,0.0,0.0,0.0,0.0851685446715,0.0194075640389,0.449331940459,0.397460910353
 05/20  14:00:00,0.962419948343,0.78196245534,0.0,0.0,0.0,0.0,0.0,0.0,0.0851685446715,0.0194075640389,0.41460256486,0.419841274773
