Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly) 
 10/09  10:00:00,0.82331120477,1.80733106942,0.0,0.926405964219,0.0,0.0255069992341,0.0255069992341,0.0255069992341,0.10367836041,0.0225888731445,0.34911988098,0.305305091002,0.859896388526
 10/09  11:00:00,0.830000932994,1.36250165296,0.0,0.580183775332,0.0,0.0159743651105,0.0159743651105,0.0159743651105,0.10367836041,0.0225888731445,0.365248706228,0.305398628101,0.76128271833
 10/09  12:00:00,0.819876095564,1.43687705438,0.0,0.731356153275,0.0,0.0201366372432,0.0201366372432,0.0201366372432,0.10367836041,0.0225888731445,0.356106137108,0.300254087658,0.684840085992
 10/09  13:00:00,0.792782090677,1.26044703345,0.0,0.598791731772,0.0,0.0164867032744,0.0164867032744,0.0164867032744,0.10367836041,0.0225888731445,0.322279448206,0.310636705643,0.640259355578
 10/09  14:00:00,0.794366782527,1.55572033876,0.0,0.93780040683,0.0,0.0258207256674,0.0258207256674,0.0258207256674,0.10367836041,0.0225888731445,0.297038680158,0.328128143148,0.5953192156
 10/09  15:00:00,0.839766067973,1.94189538784,0.0,1.31657123816,0.0,0.0362495308324,0.0362495308324,0.0362495308324,0.109135133819,0.0237777468263,0.307123779051,0.346367877445,0.601467122161
 10/09  16:00:00,0.994251274405,2.26844979087,0.0,1.5840377634,0.0,0.0436137628409,0.0436137628409,0.0436137628409,0.136418833681,0.029722188086,0.357691996357,0.40969249344,0.656193345166
 10/09  17:00:00,1.30564426216,3.33993701896,0.0,2.53213699549,0.0,0.0697180489971,0.0697180489971,0.0697180489971,0.223726957455,0.0487444037597,0.448631948385,0.49771090356,0.773518834307
 10/09  18:00:00,1.53997293346,2.78969847011,0.0,1.87101014341,0.0,0.0515150551036,0.0515150551036,0.0515150551036,0.409256584636,0.0891665824708,0.402558890565,0.540363820686,0.881469302124
 10/09  19:00:00,1.72958724995,2.75987206592,0.0,1.8220913315,0.0,0.050168159524,0.050168159524,0.050168159524,0.643897005317,0.140288751807,0.320359612211,0.557761721092,0.899363382244
 10/09  20:00:00,1.79420041336,2.87637611362,0.0,2.00140966783,0.0,0.0551053823444,0.0551053823444,0.0551053823444,0.709378119045,0.154555418115,0.281112667479,0.576936826379,0.835228356195
 10/09  21:00:00,1.63835758126,3.32936057524,0.0,2.53359278178,0.0,0.0697581315756,0.0697581315756,0.0697581315756,0.59478629541,0.129588761182,0.263644908961,0.563467484128,0.756957441364
 10/09  22:00:00,1.33890484582,3.50428746702,0.0,2.83854674169,0.0,0.0781545157983,0.0781545157983,0.0781545157983,0.44745391491,0.0974887893068,0.211086728929,0.487608896873,0.632155339298
 10/09  23:00:00,1.05188271612,3.84513059433,0.0,3.31930866887,0.0,0.0913914708505,0.0913914708505,0.0913914708505,0.311034997636,0.0677666012207,0.140854588134,0.423723058284,0.496636849927
 10/09  24:00:00,0.757786269006,4.23751018978,0.0,3.86016818653,0.0,0.106283109976,0.106283109976,0.106283109976,0.158245843726,0.0344777374512,0.0911840680538,0.350483509799,0.353201500377
 10/10  01:00:00,0.64811770929,4.36798305293,0.0,4.05814940555,0.0,0.11173418326,0.11173418326,0.11173418326,0.098221587,0.02139998125,0.0769469663719,0.322702991408,0.287606603103
 10/10  02:00:00,0.59836739814,4.58368280126,0.0,4.29192780758,0.0,0.118170870578,0.118170870578,0.118170870578,0.0654810552136,0.0142666535596,0.0643753113384,0.31896150745,0.269785654267
 10/10  03:00:00,0.599169623079,5.04376913968,0.0,4.7472429753,0.0,0.130707192755,0.130707192755,0.130707192755,0.0654810552136,0.0142666535596,0.0571309948506,0.3144717267,0.274866070798
 10/10  04:00:00,0.603789373567,5.31585768142,0.0,4.96829050809,0.0,0.136793357425,0.136793357425,0.136793357425,0.0654810552136,0.0142666535596,0.067543792236,0.302592515132,0.32672529269
 10/10  05:00:00,0.661287278379,5.65533821698,0.0,5.07736314666,0.0,0.139796485445,0.139796485445,0.139796485445,0.0709378119045,0.0154555418115,0.0803165119766,0.337668927242,0.554717206599
 10/10  06:00:00,0.874924860117,6.6077232961,0.0,5.60038143224,0.0,0.154196896847,0.154196896847,0.154196896847,0.1473323805,0.032099971875,0.134040371138,0.390143239758,0.980469689464
 10/10  07:00:00,1.16408744846,6.2196976804,0.0,5.09417910102,0.0,0.140259483905,0.140259483905,0.140259483905,0.30012153441,0.0653888174317,0.211649190125,0.414556422586,1.09696488076
 10/10  08:00:00,1.09207965041,5.66107537348,0.0,4.5713918634,0.0,0.125865434013,0.125865434013,0.125865434013,0.267380977545,0.0582555024903,0.272982226561,0.350483509799,1.06554300721
 10/10  09:00:00,0.914610737183,4.81846808642,0.0,3.82635650323,0.0,0.105352163271,0.105352163271,0.105352163271,0.130962143864,0.0285333144043,0.334361307064,0.29828980858,0.971566063131
 10/10  10:00:00,0.911162347838,4.99917845059,0.0,4.11713107282,0.0,0.113358142302,0.113358142302,0.113358142302,0.10367836041,0.0225888731445,0.34911988098,0.305305091002,0.8610186611
 10/10  11:00:00,0.888286572834,3.47979047098,0.0,2.69709936703,0.0,0.0742600049505,0.0742600049505,0.0742600049505,0.10367836041,0.0225888731445,0.365248706228,0.305398628101,0.761655944655
 10/10  12:00:00,0.851727821511,2.59418752993,0.0,1.88820054009,0.0,0.0519883631908,0.0519883631908,0.0519883631908,0.10367836041,0.0225888731445,0.356106137108,0.300254087658,0.68530617473
 10/10  13:00:00,0.814403548279,2.04620976854,0.0,1.38407608035,0.0,0.0381081608764,0.0381081608764,0.0381081608764,0.10367836041,0.0225888731445,0.322279448206,0.310636705643,0.640737742096
 10/10  14:00:00,0.796664742698,1.63955649764,0.0,1.02126157715,0.0,0.0281186858378,0.0281186858378,0.0281186858378,0.10367836041,0.0225888731445,0.297038680158,0.328128143148,0.595694204168
 10/10  15:00:00,0.831873444073,1.65586969474,0.0,1.02991369027,0.0,0.0283569069323,0.0283569069323,0.0283569069323,0.109135133819,0.0237777468263,0.307123779051,0.346367877445,0.602098976943
 10/10  16:00:00,0.985394347304,1.94815924183,0.0,1.26235703508,0.0,0.03475683574,0.03475683574,0.03475683574,0.136418833681,0.029722188086,0.357691996357,0.40969249344,0.657583524452
 10/10  17:00:00,1.29953436634,3.12014013552,0.0,2.31022755494,0.0,0.0636081531752,0.0636081531752,0.0636081531752,0.223726957455,0.0487444037597,0.448631948385,0.49771090356,0.775631391416
 10/10  18:00:00,1.54253474537,2.88542613083,0.0,1.96405432366,0.0,0.0540768670154,0.0540768670154,0.0540768670154,0.409256584636,0.0891665824708,0.402558890565,0.540363820686,0.884152782597
 10/10  19:00:00,1.74582848466,3.35306286584,0.0,2.41196772445,0.0,0.0664093942359,0.0664093942359,0.0664093942359,0.643897005317,0.140288751807,0.320359612211,0.557761721092,0.902677789212
 10/10  20:00:00,1.81932300977,3.791859687,0.0,2.9138542458,0.0,0.0802279787549,0.0802279787549,0.0802279787549,0.709378119045,0.154555418115,0.281112667479,0.576936826379,0.838267351614
 10/10  21:00:00,1.66741849463,4.38699682705,0.0,3.58907575826,0.0,0.0988190449468,0.0988190449468,0.0988190449468,0.59478629541,0.129588761182,0.263644908961,0.563467484128,0.759110716697
 10/10  22:00:00,1.37643196365,4.86835641882,0.0,4.20151952648,0.0,0.115681633628,0.115681633628,0.115681633628,0.44745391491,0.0974887893068,0.211086728929,0.487608896873,0.633251506312
 10/10  23:00:00,1.09714683103,5.49000222533,0.0,4.96328668554,0.0,0.136655585754,0.136655585754,0.136655585754,0.311034997636,0.0677666012207,0.140854588134,0.423723058284,0.497530464266
 10/10  24:00:00,0.809589076284,6.11944779893,0.0,5.74162939588,0.0,0.158085917254,0.158085917254,0.158085917254,0.158245843726,0.0344777374512,0.0911840680538,0.350483509799,0.353677900179
 10/11  01:00:00,0.707432358566,6.5224294348,0.0,6.21243828724,0.0,0.171048832536,0.171048832536,0.171048832536,0.098221587,0.02139998125,0.0769469663719,0.322702991408,0.287764103287
 10/11  02:00:00,0.663702665578,6.95652478006,0.0,6.66488359408,0.0,0.183506138017,0.183506138017,0.183506138017,0.0654810552136,0.0142666535596,0.0643753113384,0.31896150745,0.269671846557
 10/11  03:00:00,0.658186970518,7.18691365983,0.0,6.8907339504,0.0,0.189724540195,0.189724540195,0.189724540195,0.0654810552136,0.0142666535596,0.0571309948506,0.3144717267,0.274519615851
 10/11  04:00:00,0.664105679874,7.50614039821,0.0,7.15895924925,0.0,0.197109663733,0.197109663733,0.197109663733,0.0654810552136,0.0142666535596,0.067543792236,0.302592515132,0.326339268307
 10/11  05:00:00,0.720616969559,7.81049864585,0.0,7.23219834541,0.0,0.199126176625,0.199126176625,0.199126176625,0.0709378119045,0.0154555418115,0.0803165119766,0.337668927242,0.555042436715
 10/11  06:00:00,0.937404520283,8.87835758211,0.0,7.86962248598,0.0,0.216676557012,0.216676557012,0.216676557012,0.1473323805,0.032099971875,0.134040371138,0.390143239758,0.981862921726
