Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly),Water Heater:WaterSystems:Electricity [kW](Hourly) 
 04/23  21:00:00,1.18477255152,0.0755198188831,0.0,0.172817456599,0.0361777774813,0.20899523408,0.0361777774813,0.190329437521,0.0316828216806,0.0711682090289,0.421044144519,0.251757704694
 04/23  22:00:00,0.973660947333,0.0543058517821,0.0,0.14063097617,0.030017470194,0.170648446364,0.030017470194,0.142423390606,0.0237082342412,0.0621568060188,0.364359748569,0.200569321533
 04/23  23:00:00,0.769804133607,0.0417074669589,0.0,0.10907500589,0.0235176451308,0.132592651021,0.0235176451308,0.0984016206349,0.01638023545,0.0544267061419,0.316621841745,0.141586078614
 04/23  24:00:00,0.541536409578,0.0313021614298,0.0,0.0708615412795,0.0155456637382,0.0864072050177,0.0155456637382,0.0504955737206,0.00840564801058,0.0489012486725,0.261894490291,0.075637243865
 04/24  01:00:00,0.438905100794,0.0298760269929,0.0,0.0501460645907,0.0110824089369,0.0612284735276,0.0110824089369,0.0310741890073,0.00517270476923,0.0461102973101,0.24113583974,0.0443885964395
 04/24  02:00:00,0.404301013678,0.0230196326863,0.0,0.0407569868751,0.00900742728822,0.0497644141633,0.00900742728822,0.0207161295428,0.00344847043508,0.0439811760348,0.238340061888,0.0382557616149
 04/24  03:00:00,0.394392755001,0.0227891463127,0.0,0.034694340406,0.00766757797539,0.0423619183813,0.00766757797539,0.0207161295428,0.00344847043508,0.0424531237477,0.234985128465,0.040632984429
 04/24  04:00:00,0.402539042194,0.028843640111,0.0,0.0311647690726,0.00688716335443,0.0380519324271,0.00688716335443,0.0207161295428,0.00344847043508,0.0427305601286,0.226108533785,0.0616884158757
 04/24  05:00:00,0.538139541117,0.0372898114642,0.0,0.0392133247558,0.00866557101529,0.0478788957711,0.00866557101529,0.0220108876392,0.00366399983727,0.0447354145489,0.252318951148,0.157736392172
 04/24  06:00:00,0.767970393688,0.0666220845008,0.0,0.0304803755913,0.00679127066967,0.037271646261,0.00679127066967,0.0362532160862,0.00603482149462,0.0513244511022,0.291529735523,0.335761523221
 04/24  07:00:00,0.890601056431,0.101159314261,0.0,0.0340413155767,0.00758365168847,0.0416249672651,0.00758365168847,0.0673274316275,0.0112075306808,0.0602733927045,0.309772186008,0.375600548145
 04/24  08:00:00,0.817313124405,0.104515578197,0.0,0.0520752206349,0.0115028036135,0.0635780242484,0.0115028036135,0.0543798241294,0.00905223665884,0.0680153854459,0.261894490291,0.350598163631
 04/24  09:00:00,0.732822522934,0.105846062962,0.0,0.0772685848,0.0167859283775,0.0940545131775,0.0167859283775,0.025895159275,0.00431058804385,0.0710830131577,0.222893389255,0.304790860025
 04/24  10:00:00,0.705831726199,0.0955508125029,0.0,0.0974854911735,0.0206194654251,0.118104956599,0.0206194654251,0.0207161295428,0.00344847043508,0.0669792355739,0.228135472728,0.258652461321
 04/24  11:00:00,0.68534831645,0.10886543319,0.0,0.113402141018,0.0232466754861,0.136648816504,0.0232466754861,0.0207161295428,0.00344847043508,0.066199487569,0.228205367174,0.220335045225
 04/24  12:00:00,0.679358742137,0.121911153108,0.0,0.135600024736,0.0268729791832,0.16247300392,0.0268729791832,0.0207161295428,0.00344847043508,0.0680280550129,0.224361172627,0.190536910599
 04/24  13:00:00,0.688160516675,0.102470011631,0.0,0.15275072775,0.0299604517776,0.182711179527,0.0299604517776,0.0207161295428,0.00344847043508,0.0663952394334,0.232119456167,0.172975041569
 04/24  14:00:00,0.733372466282,0.0993768850387,0.0,0.196161619651,0.0375880524969,0.233749672147,0.0375880524969,0.0207161295428,0.00344847043508,0.0634748340032,0.245189717625,0.156998642528
 04/24  15:00:00,0.804178348891,0.124278440237,0.0,0.238748111289,0.0457485992994,0.284496710589,0.0457485992994,0.0207161295428,0.00344847043508,0.0658418129684,0.258819134654,0.161061090702
 04/24  16:00:00,0.941909792361,0.194097178673,0.0,0.286397813833,0.0548795425665,0.341277356399,0.0548795425665,0.0220108876392,0.00366399983727,0.0751535592033,0.3061376748,0.183871314483
 04/24  17:00:00,1.1830950745,0.307786308067,0.0,0.369774301279,0.0708552869833,0.440629588263,0.0708552869833,0.0297794388711,0.00495717669212,0.0921114691701,0.37190834877,0.23391405273
 04/24  18:00:00,1.27189018119,0.247417897267,0.0,0.330510734612,0.0640133170096,0.394524051621,0.0640133170096,0.0543798241294,0.00905223665884,0.0937391546699,0.403780216283,0.276619697826
 04/24  19:00:00,1.24458595598,0.141794829324,0.0,0.270405660362,0.0547891049221,0.325194765284,0.0547891049221,0.107464924656,0.0178889408237,0.0858118819485,0.416780583295,0.281649859975
 04/24  20:00:00,1.26336774916,0.0961854192202,0.0,0.235689975403,0.0487746297485,0.284464605151,0.0487746297485,0.17608710642,0.0293119995815,0.0764853093347,0.431108944787,0.25611478389
 04/24  21:00:00,1.04711267447,0.0755198188831,0.0,0.0816149745201,0.0174112310596,0.0990262055797,0.0174112310596,0.190329437521,0.0316828216806,0.0696428026832,0.421044144519,0.225592262491
 04/24  22:00:00,0.781110010746,0.0543058517821,0.0,0.0,0.0,0.0,0.0,0.142423390606,0.0237082342412,0.0611297878293,0.364359748569,0.179693849501
 04/24  23:00:00,0.623779042587,0.0417074669589,0.0,0.0,0.0,0.0,0.0,0.0984016206349,0.01638023545,0.0538000223546,0.316621841745,0.128780322403
 04/24  24:00:00,0.492614614433,0.0313021614298,0.0,0.0346140462882,0.00775948680955,0.0423735330978,0.00775948680955,0.0504955737206,0.00840564801058,0.0485728099064,0.261894490291,0.0710775594061
 04/25  01:00:00,0.409113536772,0.0298760269929,0.0,0.0256700527767,0.00586968019292,0.0315397329696,0.00586968019292,0.0310741890073,0.00517270476923,0.0461102973101,0.24113583974,0.0442857729764
 04/25  02:00:00,0.369868464457,0.0230196326863,0.0,0.0125270429745,0.00288078938536,0.0154078323599,0.00288078938536,0.0207161295428,0.00344847043508,0.0439811760348,0.238340061888,0.0381797941972
