Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly),Water Heater:WaterSystems:Electricity [kW](Hourly) 
 11/18  02:00:00,0.367766959487,0.0305842913993,0.0,0.0,0.0,0.0,0.0,0.03084570525,0.0051346706625,0.0401263830428,0.232310888137,0.0495543123951
 11/18  03:00:00,0.343776822744,0.0230767242593,0.0,0.0,0.0,0.0,0.0,0.0205638035,0.00342311421669,0.0379915862301,0.229617428564,0.0423858902328
 11/18  04:00:00,0.342079782511,0.0228546730942,0.0,0.0,0.0,0.0,0.0,0.0205638035,0.00342311421669,0.0366273047609,0.226385277077,0.0452852829565
 11/18  05:00:00,0.359845369252,0.0295896872223,0.0,0.0,0.0,0.0,0.0,0.0205638035,0.00342311421669,0.0371211116334,0.217833542934,0.0711087969679
 11/18  06:00:00,0.505930460828,0.0386263013546,0.0,0.0,0.0,0.0,0.0,0.0226201865034,0.00376542559419,0.0393280080084,0.243084726427,0.187337114295
 11/18  07:00:00,0.786164439055,0.0704909372588,0.0,0.0,0.0,0.0,0.0,0.03907122665,0.0065039161725,0.0462386631579,0.280860496933,0.403695136141
 11/18  08:00:00,0.921219194909,0.108269592786,0.0,0.0,0.0,0.0,0.0,0.07608607295,0.0126655209675,0.0557233332809,0.298435320644,0.453513947066
 11/18  09:00:00,0.837328446301,0.112402577022,0.0,0.0,0.0,0.0,0.0,0.0740296926,0.01232320959,0.0640997789748,0.252309825464,0.424770939672
 11/18  10:00:00,0.725763245032,0.114227157988,0.0,0.0138856294649,0.0031558834507,0.0170415129156,0.0031558834507,0.041127607,0.00684622755,0.0674044463019,0.214736064426,0.368812386838
 11/18  11:00:00,0.723768768214,0.102866347768,0.0,0.0639452203451,0.0141248213063,0.0780700416514,0.0141248213063,0.03495846595,0.0058192934175,0.06330190354,0.219786301124,0.312037762531
